symbol,pass_strategy,strategy_score,research_priority,reject_reasons,price,company_name,sector,industry,exchange,is_etf,is_fund,is_adr,is_actively_trading,fair_value,upside,score,wacc,dcf_growth_rate,growth_estimate,revenue_growth,fcf_growth,eps_growth,momentum_3m,momentum_6m,momentum_12m,free_cash_flow,market_cap,beta,roic,debt_to_equity,strategy
NEM,True,0.8819677785793117,EXTREME_RESEARCH,,125.79,Newmont Corporation,Basic Materials,Gold,NYSE,False,False,False,True,525.8209633568816,3.1801491641377027,0.9521087757430535,0.06905064910574346,0.3,0.3,0.16033235533664802,0.29119596579868,1.0953307516724204,0.19773527452659634,0.009463469404122238,0.8242028985507246,7299000000.0,132543950769.0,0.5,0.21475825753949257,0.16865975728585347,medium_factor_quality_value_momentum
AU,True,0.8558241129269778,EXTREME_RESEARCH,,97.95,AngloGold Ashanti plc,Basic Materials,Gold,NYSE,False,False,False,True,360.01058766085544,2.675452656057738,0.9774193548387098,0.08185917360456642,0.3,0.3,0.25179348067325136,1.5115115382871172,0.5261767530159123,0.04792981705360022,-0.07742300084769704,0.8035352605413368,3105000000.0,49537835197.0,0.702,0.436246042417821,0.3010752688172043,medium_factor_quality_value_momentum
FTI,True,0.8529090738271947,EXTREME_RESEARCH,,78.29,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,NYSE,False,False,False,True,200.95767841000836,1.5668371236429728,0.9494541867645767,0.08176206673439282,0.3,0.3,0.11599277528886476,0.2517216771750965,1.2961032414902616,0.06575006806425288,0.2777868451118002,1.2374964275507288,1447400000.0,30702550250.0,0.718,0.24441004026359564,0.5994113799869195,medium_factor_quality_value_momentum
KGC,True,0.8524147533348192,EXTREME_RESEARCH,,29.83,Kinross Gold Corporation,Basic Materials,Gold,NYSE,False,False,False,True,65.20314686580299,1.1858245680792154,0.9931891324695526,0.1235741657770265,0.3,0.3,0.2889075906835452,0.6914823470899363,1.2705690742021893,0.08673469387755106,-0.1371527777777778,0.5386996904024768,2566300000.0,35385562736.0,1.406,0.315851265347871,0.09081156707263245,medium_factor_quality_value_momentum
EXEL,True,0.851215889043152,EXTREME_RESEARCH,,53.12,"Exelixis, Inc.",Healthcare,Biotechnology,NASDAQ,False,False,False,True,207.64003423138445,2.9088861865847977,0.9939954028072673,0.06532,0.2321790227601583,0.2321790227601583,0.12763146906220602,0.2585122827458528,0.40177424017752084,0.06581059390048138,0.20508166969147013,0.38658313756199414,844339000.0,13351982009.0,0.422,0.5686556099292788,0.08006129590310361,medium_factor_quality_value_momentum
RACE,True,0.8359073030729163,EXTREME_RESEARCH,,422.78,Ferrari N.V.,Consumer Cyclical,Auto - Manufacturers,NYSE,False,False,False,True,919.1945839682905,1.1741676142870774,0.9446320900009292,0.07344905912213087,0.26466501674028503,0.26466501674028503,0.1373196161826331,0.4856465181097258,0.18788356580142773,0.2814718194503427,0.15288049559260974,-0.08791588401666783,2657803000.0,74373779586.0,0.595,0.30560152486027764,0.7382387999876117,medium_factor_quality_value_momentum
INCY,True,0.8283407964837474,EXTREME_RESEARCH,,126.76,Incyte Corporation,Healthcare,Biotechnology,NASDAQ,False,False,False,True,238.87573259516543,0.8844724881284745,0.9682160205720397,0.08613178235896436,0.16922368814217736,0.16922368814217736,0.14547298956409715,0.24244185395367923,0.10689783658108509,0.3222803347280334,0.2274007185163609,0.48857748469147433,1354631000.0,25693966283.0,0.769,0.6266975284649786,0.013435567601835945,medium_factor_quality_value_momentum
RMD,True,0.8280697413154969,EXTREME_RESEARCH,,229.55,ResMed Inc.,Healthcare,Medical - Devices,NYSE,False,False,False,True,645.3907198151766,1.811547461621331,0.9905937390524757,0.08390718335458981,0.3,0.3,0.12115153709669912,0.7051812062607483,0.18355751526698105,0.10335450957743775,-0.1145378703024218,-0.19874528169998606,1649544000.0,33297692947.0,0.748,0.2527820877440123,0.12541681263365756,medium_factor_quality_value_momentum
CART,True,0.8221356840835516,EXTREME_RESEARCH,,48.93,Maplebear Inc.,Technology,Software - Services,NASDAQ,False,False,False,True,176.18758495322936,2.6008090119196683,0.9633736248571196,0.08668000000000001,0.3,0.3,0.19516017433820698,0.5367912713652889,1.3904572186687871,0.1937057818980239,0.332516339869281,0.11407103825136611,911000000.0,11500008799.0,0.778,0.21444590444409337,0.014297061159650517,medium_factor_quality_value_momentum
AEM,True,0.8207106368260728,EXTREME_RESEARCH,,186.94,Agnico Eagle Mines Limited,Basic Materials,Gold,NYSE,False,False,False,True,554.9041767319644,1.9683544277948242,0.9388160366480401,0.07721266537105048,0.3,0.3,0.3244669569308387,0.8086210236389151,0.41341659752444326,0.043133753696780186,-0.1221825694966191,0.40187476565429336,4261981000.0,94659847676.0,0.619,0.1897904848679102,0.012992642931601316,medium_factor_quality_value_momentum
UTHR,True,0.8205766041434764,EXTREME_RESEARCH,,528.5939,United Therapeutics Corporation,Healthcare,Biotechnology,NASDAQ,False,False,False,True,1128.11693724804,1.1341845550015615,0.9614698073886037,0.07384,0.21269865148049083,0.21269865148049083,0.17224054042289483,0.21509654213694085,0.29001803761100775,-0.06734297812279455,0.11045058292196197,0.6829990448901622,1040700000.0,22437066695.0,0.564,0.21186720317789937,0.005298610523942392,medium_factor_quality_value_momentum
DOCU,True,0.810651983828784,EXTREME_RESEARCH,,60.01,"DocuSign, Inc.",Technology,Software - Application,NASDAQ,False,False,False,True,252.60943808504356,3.2094557254631493,0.9577429242138968,0.09226000000000001,0.3,0.3,0.11178292080831609,0.2418574601966712,1.0275875100994067,0.22419420644634824,0.32736120327361196,-0.1535966149506348,1058562000.0,11458609450.0,0.871,0.21498235492167977,0.09652574277043727,medium_factor_quality_value_momentum
